Date,Price,Open,High,Low,Volume,Change
30/12/13,6291.1,6336.4,6344.05,6273.15,101.27M,-0.36%
31/12/13,6304,6307.35,6317.3,6287.3,103.44M,0.21%
01/01/14,6301.65,6323.8,6327.2,6298.25,69.57M,-0.04%
02/01/14,6221.15,6301.25,6358.3,6211.3,158.13M,-1.28%
03/01/14,6211.15,6194.55,6221.7,6171.25,139.04M,-0.16%
06/01/14,6191.45,6220.85,6224.7,6170.25,118.35M,-0.32%
07/01/14,6162.25,6203.9,6221.5,6144.75,138.56M,-0.47%
08/01/14,6174.6,6178.05,6192.1,6160.35,146.91M,0.20%
09/01/14,6168.35,6181.7,6188.05,6148.25,150.06M,-0.10%
10/01/14,6171.45,6178.85,6239.1,6139.6,159.92M,0.05%
13/01/14,6272.75,6189.55,6288.2,6189.55,135.01M,1.64%
14/01/14,6241.85,6260.25,6280.35,6234.15,110.23M,-0.49%
15/01/14,6320.9,6265.95,6325.2,6265.3,145.92M,1.27%
16/01/14,6318.9,6341.35,6346.5,6299.85,153.42M,-0.03%
17/01/14,6261.65,6306.25,6327.1,6246.35,167.72M,-0.91%
20/01/14,6303.95,6261.75,6307.45,6243.35,122.14M,0.68%
21/01/14,6313.8,6320.15,6330.3,6297.9,141.73M,0.16%
22/01/14,6338.95,6309.05,6349.95,6287.45,137.49M,0.40%
23/01/14,6345.65,6325.95,6355.6,6316.4,120.06M,0.11%
24/01/14,6266.75,6301.65,6331.45,6263.9,160.27M,-1.24%
27/01/14,6135.85,6186.3,6188.55,6130.25,190.44M,-2.09%
28/01/14,6126.25,6131.85,6163.6,6085.95,184.11M,-0.16%
29/01/14,6120.25,6161,6170.45,6109.8,146.73M,-0.10%
30/01/14,6073.7,6067,6082.85,6027.25,208.06M,-0.76%
31/01/14,6089.5,6082.75,6097.85,6067.35,146.71M,0.26%
03/02/14,6001.8,6058.8,6074.85,5994.45,134.89M,-1.44%
04/02/14,6000.9,5947.6,6017.8,5933.3,183.25M,-0.01%
05/02/14,6022.4,6004.25,6028.05,5962.05,166.63M,0.36%
06/02/14,6036.3,6028.35,6048.35,5965.4,185.50M,0.23%
07/02/14,6063.2,6077.65,6079.95,6030.9,181.93M,0.45%
10/02/14,6053.45,6072.8,6083.05,6046.4,133.07M,-0.16%
11/02/14,6062.7,6072.45,6081.85,6053.25,150.52M,0.15%
12/02/14,6084,6085.35,6106.6,6077.4,138.55M,0.35%
13/02/14,6001.1,6087.55,6094.4,5991.1,153.65M,-1.36%
14/02/14,6048.35,6023.75,6056.4,5984.6,140.20M,0.79%
17/02/14,6073.3,6057.1,6080.65,6038.3,108.49M,0.41%
18/02/14,6127.1,6071.3,6141.7,6066.8,126.64M,0.89%
19/02/14,6152.75,6132.05,6160.35,6125.75,95.25M,0.42%
20/02/14,6091.45,6127.15,6129.1,6086.45,132.11M,-1.00%
21/02/14,6155.45,6108.3,6159.65,6108,112.60M,1.05%
24/02/14,6186.1,6140.95,6191.85,6130.8,144.88M,0.50%
25/02/14,6200.05,6205.7,6216.85,6176.6,146.26M,0.23%
26/02/14,6238.8,6202.45,6245.95,6202.1,181.66M,0.62%
28/02/14,6276.95,6228.45,6282.7,6228.1,180.60M,0.61%
03/03/14,6221.45,6264.35,6277.75,6212.25,144.56M,-0.88%
04/03/14,6297.95,6216.75,6302.15,6215.7,166.82M,1.23%
05/03/14,6328.65,6328.45,6336.25,6287.8,160.30M,0.49%
06/03/14,6401.15,6344.75,6406.6,6339.7,180.73M,1.15%
07/03/14,6526.65,6413.95,6537.8,6413.55,284.92M,1.96%
10/03/14,6537.25,6491.7,6562.2,6487.35,242.14M,0.16%
11/03/14,6511.9,6537.35,6562.85,6494.25,239.00M,-0.39%
12/03/14,6516.9,6497.5,6546.15,6487.3,174.98M,0.08%
13/03/14,6493.1,6491.75,6561.45,6476.65,167.86M,-0.37%
14/03/14,6504.2,6447.25,6518.45,6432.7,177.34M,0.17%
18/03/14,6516.65,6532.45,6574.95,6497.65,179.31M,0.19%
19/03/14,6524.05,6530,6541.2,6506,172.46M,0.11%
20/03/14,6483.1,6508.35,6523.65,6473.25,141.98M,-0.63%
21/03/14,6493.2,6515.2,6522.9,6485.7,189.85M,0.16%
22/03/14,6494.9,6497.8,6502.65,6481.35,9.77M,0.03%
24/03/14,6583.5,6510.5,6591.5,6510.5,158.40M,1.36%
25/03/14,6589.75,6550.1,6595.55,6544.85,168.12M,0.09%
26/03/14,6601.4,6615.65,6627.45,6580.6,186.57M,0.18%
27/03/14,6641.75,6613.1,6673.95,6599.5,312.38M,0.61%
28/03/14,6695.9,6673.05,6702.6,6643.8,184.82M,0.82%
31/03/14,6704.2,6723.15,6730.05,6662.4,220.62M,0.12%
01/04/14,6721.05,6729.5,6732.25,6675.45,177.84M,0.25%
02/04/14,6752.55,6757.6,6763.5,6723.6,173.34M,0.47%
03/04/14,6736.1,6772.05,6776.75,6696.9,197.55M,-0.24%
04/04/14,6694.35,6741.85,6741.85,6685.15,155.13M,-0.62%
07/04/14,6695.05,6694.25,6725.15,6650.4,133.95M,0.01%
09/04/14,6796.2,6722,6808.7,6705.1,169.80M,1.51%
10/04/14,6796.4,6803.05,6819.05,6777.3,191.13M,0.00%
11/04/14,6776.3,6758.35,6789.35,6743.15,140.74M,-0.30%
15/04/14,6733.1,6792.7,6813.4,6711.75,123.20M,-0.64%
16/04/14,6675.3,6727.25,6748.65,6665.15,119.77M,-0.86%
17/04/14,6779.4,6695.45,6783.05,6684.4,131.49M,1.56%
21/04/14,6817.65,6789.25,6825.45,6786.9,111.84M,0.56%
22/04/14,6815.35,6822.9,6838,6806.25,114.69M,-0.03%
23/04/14,6840.8,6823.25,6861.6,6820.75,182.97M,0.37%
